"Avibase.ID","spname","Species","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
"AVIBASE-6AA879E6","Piranga flava","Piranga flava","9/29/2022",2488498,147923,147798,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2488498&occurrence_status=present","manual",120738,3162.2,2559,43.07,-17.25
"AVIBASE-0ADA5F17","Piranga ludoviciana","Piranga ludoviciana","9/29/2022",2488484,912014,911472,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2488484&occurrence_status=present","manual",586485,3181.2,2423.2,44.97,-30.83
"AVIBASE-42101632","Piranga olivacea","Piranga olivacea","9/29/2022",2488517,1207430,1207364,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2488517&occurrence_status=present","manual",447026,3155,2507,42.35,-22.45
"AVIBASE-891798D9","Piranga rubra","Piranga rubra","9/29/2022",2488485,1139896,1139819,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2488485&occurrence_status=present","manual",603043,3170.2,2522,43.87,-20.95
"AVIBASE-9C883C7B","Pitangus sulphuratus","Pitangus sulphuratus","9/29/2022",2482755,1397143,1397095,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482755&occurrence_status=present","manual",666599,3133.8,2609.8,40.23,-12.17
"AVIBASE-FD2B0309","Plegadis chihi","Plegadis chihi","9/29/2022",9375033,567829,567805,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9375033&occurrence_status=present","manual",315886,3180.4,2531.4,44.89,-20.01
"AVIBASE-D4540F88","Plegadis falcinellus","Plegadis falcinellus","9/29/2022",2480773,864992,862262,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480773&occurrence_status=present","manual",379650,3197.8,2524.2,46.6300000000001,-20.73
"AVIBASE-25A20BA6","Pluvialis apricaria","Pluvialis apricaria","9/29/2022",2480332,737401,723370,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480332&occurrence_status=present","manual",175149,3176.8,2416.6,44.53,-31.49
"AVIBASE-2143A852","Pluvialis dominica","Pluvialis dominica","9/29/2022",2480328,193686,192871,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480328&occurrence_status=present","manual",51263,3154,2358,42.25,-37.35
"AVIBASE-1CBD2CED","Podiceps grisegena","Podiceps grisegena","9/29/2022",2482051,831212,828712,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482051&occurrence_status=present","manual",107548,3159.4,2393,42.79,-33.85
"AVIBASE-32DCEC14","Podiceps nigricollis","Podiceps nigricollis","9/29/2022",2482065,981414,979164,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482065&occurrence_status=present","manual",384238,3196.2,2430.2,46.47,-30.13
"AVIBASE-9A8E55D0","Podilymbus podiceps","Podilymbus podiceps","9/29/2022",2482077,3507182,3507097,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482077&occurrence_status=present","manual",1013427,3182.6,2444.8,45.11,-28.67
