Avibase.ID,spname,Species,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments,gbif_dwnld_type
AVIBASE-709AF716,Parkesia noveboracensis,Parkesia noveboracensis,9/28/2022,6093856,903861,903739,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093856&occurrence_status=present,manual
AVIBASE-9BE53D34,Parus caeruleus,Parus caeruleus,9/28/2022,8191482,469085,462589,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8191482&occurrence_status=present,manual
AVIBASE-E15BC0CB,Parus major,Parus major,9/28/2022,9705453,8145739,8133232,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9705453&occurrence_status=present,manual
AVIBASE-523763E5,Parus palustris,Parus palustris,9/24/2022,8126684,63761,61954,NA,code
AVIBASE-240E3390,Passer domesticus,Passer domesticus,9/28/2022,5231190,15401834,15387842,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231190&occurrence_status=present,manual
AVIBASE-C22FBF8D,Passer montanus,Passer montanus,9/28/2022,5231198,2496185,2488782,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231198&occurrence_status=present,manual
AVIBASE-3C974C47,Passerculus sandwichensis,Passerculus sandwichensis,9/28/2022,5231142,2786698,2786341,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231142&occurrence_status=present,manual
AVIBASE-0B1B2EB6,Passerella iliaca,Passerella iliaca,9/28/2022,2491872,1318128,1318051,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491872&occurrence_status=present,manual
AVIBASE-9F67F3AF,Passerina amoena,Passerina amoena,9/28/2022,5230861,416016,415896,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230861&occurrence_status=present,manual
AVIBASE-A7A75EA1,Passerina caerulea,Passerina caerulea,9/28/2022,5230862,806273,806212,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230862&occurrence_status=present,manual
